Date,Ticker,Company,Yesterday High,Yesterday Low,Yesterday Range,2 Days Ago High,2 Days Ago Low,2 Days Ago Range,Range Status,ATR(14)
2026-09-14,AAPL,Apple,336.22,326.3,9.92,326.74,316.51,10.23,Contracting,7.89
2026-09-14,AMD,AMD,521.06,501.35,19.71,516.33,502.81,13.52,Expanding,19.64
2026-09-14,AMZN,Amazon,257.59,253.14,4.45,253.15,249.58,3.57,Expanding,5.61
2026-09-14,GOOG,Alphabet,339.95,332.55,7.4,330.89,325.65,5.24,Expanding,6.69
2026-09-14,META,Meta,664.24,646.2,18.04,663.5,642.14,21.36,Contracting,20.33
2026-09-14,MSFT,Microsoft,498.97,492.58,6.39,494.52,486,8.52,Contracting,9.36
2026-09-14,MU,Micron,993.99,967.38,26.61,999,973.5,25.5,Expanding,45.78
2026-09-14,NBIS,Neurabases,234.95,223.64,11.31,238.33,226.03,12.3,Contracting,15.51
2026-09-14,NFLX,Netflix,77.57,76.15,1.42,76.3,75.03,1.27,Expanding,2.12
2026-09-14,NVDA,NVIDIA,222,218.15,3.85,220.99,217.2,3.79,Expanding,7.04
2026-09-14,QQQ,Nasdaq ETF,717.63,713.63,4.0,712.06,706.86,5.2,Contracting,8.12
2026-09-14,SNDK,SanDisk,1720.7,1616.8,103.9,1733.95,1674,59.95,Expanding,104.14
2026-09-14,TSLA,Tesla,368.66,361.6,7.06,369.21,357.68,11.53,Inside Day,14.16
